county,name,sexcode,sex,agegrpcode,agegrp,yr_2010,yr_2015,yr_2020,yr_2025,yr_2030,yr_2035,yr_2040
15,Chemung County,2,Female,18,85+,1538,1488,1344,1256,1301,1452,1597
17,Chenango County,1,Male,1,0-4,1427,1319,1270,1187,1102,1032,970
17,Chenango County,1,Male,2,5-9,1544,1563,1467,1416,1334,1252,1183
17,Chenango County,1,Male,3,10-14,1751,1684,1693,1608,1550,1467,1382
17,Chenango County,1,Male,4,15-19,1806,1690,1630,1624,1545,1479,1392
17,Chenango County,1,Male,5,20-24,1338,1316,1194,1140,1105,1031,957
17,Chenango County,1,Male,6,25-29,1366,1410,1358,1221,1183,1145,1081
17,Chenango County,1,Male,7,30-34,1296,1258,1262,1199,1066,1029,982
17,Chenango County,1,Male,8,35-39,1378,1324,1300,1290,1221,1085,1050
17,Chenango County,1,Male,9,40-44,1685,1379,1322,1306,1287,1212,1075
17,Chenango County,1,Male,10,45-49,1981,1526,1264,1206,1190,1161,1086
17,Chenango County,1,Male,11,50-54,2176,1897,1484,1246,1189,1175,1142
17,Chenango County,1,Male,12,55-59,1856,2154,1909,1530,1309,1250,1242
17,Chenango County,1,Male,13,60-64,1704,1717,1971,1756,1417,1218,1161
17,Chenango County,1,Male,14,65-69,1342,1576,1597,1813,1626,1325,1146
17,Chenango County,1,Male,15,70-74,932,1143,1344,1364,1538,1383,1129
17,Chenango County,1,Male,16,75-79,625,716,873,1028,1044,1170,1055
17,Chenango County,1,Male,17,80-84,525,463,525,636,754,773,861
17,Chenango County,1,Male,18,85+,404,488,500,540,620,731,809
17,Chenango County,2,Female,1,0-4,1308,1265,1219,1139,1057,989,931
17,Chenango County,2,Female,2,5-9,1479,1379,1336,1280,1199,1122,1058
17,Chenango County,2,Female,3,10-14,1692,1545,1452,1405,1344,1261,1185
17,Chenango County,2,Female,4,15-19,1699,1544,1420,1334,1282,1218,1138
17,Chenango County,2,Female,5,20-24,1210,1252,1110,1024,955,902,838
17,Chenango County,2,Female,6,25-29,1311,1242,1238,1094,1028,971,922
17,Chenango County,2,Female,7,30-34,1254,1305,1241,1210,1067,1015,962
17,Chenango County,2,Female,8,35-39,1424,1306,1347,1283,1239,1095,1048
17,Chenango County,2,Female,9,40-44,1695,1362,1250,1280,1219,1168,1031
17,Chenango County,2,Female,10,45-49,2063,1737,1424,1314,1337,1277,1218
17,Chenango County,2,Female,11,50-54,2129,1918,1614,1334,1229,1242,1184
17,Chenango County,2,Female,12,55-59,1812,2041,1843,1549,1290,1190,1198
17,Chenango County,2,Female,13,60-64,1690,1809,2022,1832,1542,1296,1199
17,Chenango County,2,Female,14,65-69,1322,1585,1692,1877,1702,1433,1211
17,Chenango County,2,Female,15,70-74,1040,1176,1406,1498,1650,1496,1260
17,Chenango County,2,Female,16,75-79,774,932,1055,1262,1344,1473,1340
17,Chenango County,2,Female,17,80-84,691,688,808,916,1097,1170,1274
17,Chenango County,2,Female,18,85+,748,729,714,762,836,962,1059
19,Clinton County,1,Male,1,0-4,2088,1993,1970,1869,1758,1677,1616
19,Clinton County,1,Male,2,5-9,2169,1949,1861,1821,1724,1623,1547
19,Clinton County,1,Male,3,10-14,2302,2114,1915,1827,1782,1685,1589
19,Clinton County,1,Male,4,15-19,3240,2496,2343,2165,2082,2020,1920
19,Clinton County,1,Male,5,20-24,4056,3624,3006,2891,2757,2673,2584
19,Clinton County,1,Male,6,25-29,2883,3118,2814,2367,2278,2169,2088
19,Clinton County,1,Male,7,30-34,2799,2986,3112,2836,2440,2364,2270
19,Clinton County,1,Male,8,35-39,2671,3011,3164,3229,2968,2586,2518
19,Clinton County,1,Male,9,40-44,3059,2691,2929,3037,3060,2822,2472
19,Clinton County,1,Male,10,45-49,3629,2975,2623,2810,2902,2910,2686
19,Clinton County,1,Male,11,50-54,3284,3497,2879,2539,2695,2775,2773
19,Clinton County,1,Male,12,55-59,2774,3167,3339,2756,2435,2560,2630
19,Clinton County,1,Male,13,60-64,2292,2582,2927,3058,2532,2240,2338
19,Clinton County,1,Male,14,65-69,1640,1955,2188,2461,2554,2115,1871
19,Clinton County,1,Male,15,70-74,1198,1385,1650,1841,2062,2133,1770
19,Clinton County,1,Male,16,75-79,964,890,1026,1218,1356,1513,1560
19,Clinton County,1,Male,17,80-84,651,568,523,602,712,791,879
19,Clinton County,1,Male,18,85+,398,436,416,387,408,461,514
19,Clinton County,2,Female,1,0-4,1981,1901,1879,1782,1676,1599,1541
19,Clinton County,2,Female,2,5-9,2017,1952,1881,1841,1746,1649,1578
